Sum of consumption,Column Labels,,,,,,
Row Labels,Jan,Feb,Mar,Apr,May,Jun,Grand Total
Condom Latex Female (1) Other  ,3880,5207,4866,4944,3825,2371,25093
Condoms Latex Male (100 pieces) Other  ,16630,18221,14816,13577,9522,7086,79852
Condoms Latex Male (144 pieces) Other  ,72683,68701,66935,80377,85889,68319,442904
Ethinyloestradiol/Levonorgestrel 30mcg/150mcg Tab Blister of 28 tabs (3) Other  ,51523,53775,59801,65138,58093,58149,346479
Ethinyloestradiol/Levonorgestrel 30mcg/150mcg tablet  cycle (1) Other  ,264,145,418,629,489,230,2175
Etonogestrel (Implanon) 68mg/rod implant subdermal (1) Other  ,15234,19447,20711,17511,19614,17939,110456
Etonogestrel (Implanon) 68mg/rod implant subdermal (10) Other  ,2763,4023,3955,1759,2491,2301,17292
Female Organ Model (1) Other  ,3,1,5,0,4,0,13
Intra Uterine Devices (IUD) Copper T 90pcs Kit(1) Other  ,59,1753,723,1392,2127,1897,7951
IUD Copper T  380A  piece (1) Other  ,796,1298,998,1739,2006,2074,8911
IUD COPPER T  380A  piece (25) Other  ,0,0,0,0,0,0,0
IUD Copper T  380A Piece (50) Other  ,1,162,237,1,2,3,406
Levonogestrel 0.03mg tablet(3) Other  ,4667,4465,5160,4865,5367,4461,28985
Levonogestrel 0.75mg tab (Emergency pill) (2) Other  ,10790,8877,10141,10543,9741,11163,61255
Levonorgestrel (Microlut)  0.03mg tablets  cycle (1) Other  ,75,107,16,97,39,70,404
Levonorgestrel 1.5mg  tab (Emergency pill) (1) Other  ,125,163,581,127,141,363,1500
Levonorgestrel 1.5mg  tab (Emergency pill) (10) Other  ,10,0,0,50,0,0,60
Levonorgestrel 52mg IUD (5) Other  ,152,903,360,65,141,462,2083
Levonorgestrel 750mcg/rod Sub-dermal 3 Year Implant (10) Other  ,240,427,414,499,736,346,2662
Levonorgestrel Implant (Jadelle)  750mcg/rod Sub-dermal (10) Other  ,2498,5040,5388,3892,3845,5266,25929
Lubricating Gel  50mg (1) Other  ,2013,3166,1249,2114,79,14,8635
Medroxyprogesterone Acetate 100mg tab (100) Other  ,0,0,0,0,0,0,0
Medroxyprogesterone Acetate 104mg/0.65ml (Sayana ) SC inj (1) Other  ,26215,19995,20897,18860,16069,18748,120784
Medroxyprogesterone Acetate 104mg/0.65ml (Sayana ) SC inj (200) Other  ,81064,64509,80237,67545,59436,61559,414350
Medroxyprogesterone Acetate 10mg tablet (150) Other  ,1,0,0,0,0,0,1
Medroxyprogesterone Acetate 150mg/ml inj (200) Other  ,390,297,495,1186,654,825,3847
Medroxyprogesterone Acetate 150mg/ml pwd for IM injection (25) Other  ,60802,53009,70272,70727,51690,58102,364602
Mifepristone Tablet 10mg(200) Other  ,18,12,101,0,188,65,384
Misoprostal Tablets 200mcg (500) Other 200mcg tab,1,5,125,37,735,51,954
norethisterone Enanthate   200mg/ml Injection  1ml amp (100) Other  ,21580,16302,15859,12486,12933,9422,88582
Trocar  Sterile for Jadelle Insertion (10) Other  ,31,77,16,35,13,5,177
